uuid,pdf_title,pdf_storage_path,txt_storage_path
462acf53-9f8f-48d6-8174-9a19e0f1b795,“黄金水道”带来发展新机遇,result\np_navi\pdf\462acf53-9f8f-48d6-8174-9a19e0f1b795.pdf,result\np_navi\txt\462acf53-9f8f-48d6-8174-9a19e0f1b795.txt
5c6e2f0f-5e84-470b-9413-43c5dc925c13,让非物质文化遗产绽放出更加迷人的光彩,result\np_navi\pdf\5c6e2f0f-5e84-470b-9413-43c5dc925c13.pdf,result\np_navi\txt\5c6e2f0f-5e84-470b-9413-43c5dc925c13.txt
c364724f-37e2-4068-9c40-973e8561bd74,中央宣传部有关部门负责人就文娱领域综合治理工作答记者问,result\np_navi\pdf\c364724f-37e2-4068-9c40-973e8561bd74.pdf,result\np_navi\txt\c364724f-37e2-4068-9c40-973e8561bd74.txt
3354fde0-6d06-41a4-b23c-f4935fab29dc,忠实履行党和人民赋予的神圣使命,result\np_navi\pdf\3354fde0-6d06-41a4-b23c-f4935fab29dc.pdf,result\np_navi\txt\3354fde0-6d06-41a4-b23c-f4935fab29dc.txt
6e446ab5-a9cf-4782-84f5-88ee83e2ba68,奋战在抗洪一线的年轻人,result\np_navi\pdf\6e446ab5-a9cf-4782-84f5-88ee83e2ba68.pdf,result\np_navi\txt\6e446ab5-a9cf-4782-84f5-88ee83e2ba68.txt
2b33b5ff-3d76-4116-b831-1f37f87a4146,互联网科技赋能智慧零售,result\np_navi\pdf\2b33b5ff-3d76-4116-b831-1f37f87a4146.pdf,result\np_navi\txt\2b33b5ff-3d76-4116-b831-1f37f87a4146.txt
86374766-5be8-4187-bfff-a2ffde16d0ad,嘉兴努力走出高质量发展之路,result\np_navi\pdf\86374766-5be8-4187-bfff-a2ffde16d0ad.pdf,result\np_navi\txt\86374766-5be8-4187-bfff-a2ffde16d0ad.txt
4b699faa-d50d-457a-baba-f62627d28410,把口袋公园这件好事办好实事办实,result\np_navi\pdf\4b699faa-d50d-457a-baba-f62627d28410.pdf,result\np_navi\txt\4b699faa-d50d-457a-baba-f62627d28410.txt
166cfc5c-ae8a-489e-909b-bc5c3f623fb4,韩国民众持续抗议驻韩美军生化实验,result\np_navi\pdf\166cfc5c-ae8a-489e-909b-bc5c3f623fb4.pdf,result\np_navi\txt\166cfc5c-ae8a-489e-909b-bc5c3f623fb4.txt
1d069ad2-01c0-40be-9ffe-97d9aad3004a,与群众越密切，就越能找到好办法,result\np_navi\pdf\1d069ad2-01c0-40be-9ffe-97d9aad3004a.pdf,result\np_navi\txt\1d069ad2-01c0-40be-9ffe-97d9aad3004a.txt
17ddb7c9-4e17-4672-87f9-8017dd8d0668,中国共产党领导中国取得巨大成就,result\np_navi\pdf\17ddb7c9-4e17-4672-87f9-8017dd8d0668.pdf,result\np_navi\txt\17ddb7c9-4e17-4672-87f9-8017dd8d0668.txt
70cad951-9e36-45da-a2ef-efd82cbb9ce6,苦干实干，同乡亲一起,result\np_navi\pdf\70cad951-9e36-45da-a2ef-efd82cbb9ce6.pdf,result\np_navi\txt\70cad951-9e36-45da-a2ef-efd82cbb9ce6.txt
d4dd2a0b-3c03-460c-b7a9-59887537d378,坚决防止未成年人沉迷网络游戏,result\np_navi\pdf\d4dd2a0b-3c03-460c-b7a9-59887537d378.pdf,result\np_navi\txt\d4dd2a0b-3c03-460c-b7a9-59887537d378.txt
53373f9d-b9e2-4bcc-9a21-57879fe43f61,坚持科学精神  反对政治操弄,result\np_navi\pdf\53373f9d-b9e2-4bcc-9a21-57879fe43f61.pdf,result\np_navi\txt\53373f9d-b9e2-4bcc-9a21-57879fe43f61.txt
12b2a726-7fdf-40da-98fe-c0f4f1295d9d,做好电力保障  促进民生改善,result\np_navi\pdf\12b2a726-7fdf-40da-98fe-c0f4f1295d9d.pdf,result\np_navi\txt\12b2a726-7fdf-40da-98fe-c0f4f1295d9d.txt
cba0eb8d-e961-454a-8c99-23f4c51a6c9e,甩锅推责难掩自身抗疫不力事实,result\np_navi\pdf\cba0eb8d-e961-454a-8c99-23f4c51a6c9e.pdf,result\np_navi\txt\cba0eb8d-e961-454a-8c99-23f4c51a6c9e.txt
8fc38dd4-e64d-47b1-badb-d00cb0da3faa,“中国在稳定全球贸易方面发挥了关键作用”,result\np_navi\pdf\8fc38dd4-e64d-47b1-badb-d00cb0da3faa.pdf,result\np_navi\txt\8fc38dd4-e64d-47b1-badb-d00cb0da3faa.txt
5edad8b1-31c9-4c0b-aafc-386020d7f2c4,今年前五月吉林完成造林215.8万亩,result\np_navi\pdf\5edad8b1-31c9-4c0b-aafc-386020d7f2c4.pdf,result\np_navi\txt\5edad8b1-31c9-4c0b-aafc-386020d7f2c4.txt
e469125d-31de-4922-9dc9-bfdf6f8b331f,今年上半年广西地表水Ⅰ―Ⅲ类断面占98.3%,result\np_navi\pdf\e469125d-31de-4922-9dc9-bfdf6f8b331f.pdf,result\np_navi\txt\e469125d-31de-4922-9dc9-bfdf6f8b331f.txt
8954aa9b-8701-4238-8cbb-e925baa994ef,加快补齐医疗机构污水处理设施短板,result\np_navi\pdf\8954aa9b-8701-4238-8cbb-e925baa994ef.pdf,result\np_navi\txt\8954aa9b-8701-4238-8cbb-e925baa994ef.txt
13911858-7319-47d4-b4d5-2a1f4bb46ae5,生态补偿  共护碧水,result\np_navi\pdf\13911858-7319-47d4-b4d5-2a1f4bb46ae5.pdf,result\np_navi\txt\13911858-7319-47d4-b4d5-2a1f4bb46ae5.txt
ddb0298b-bd16-4ad8-aaf8-1edae54121dd,“社保缴上了，补贴领到了!”,result\np_navi\pdf\ddb0298b-bd16-4ad8-aaf8-1edae54121dd.pdf,result\np_navi\txt\ddb0298b-bd16-4ad8-aaf8-1edae54121dd.txt
ea9e82f5-f719-4abf-bbda-e7b53177e042,保障到位  干劲加倍,result\np_navi\pdf\ea9e82f5-f719-4abf-bbda-e7b53177e042.pdf,result\np_navi\txt\ea9e82f5-f719-4abf-bbda-e7b53177e042.txt
12dc630e-025e-4cae-bd67-8d0f3bcc86c4,激浊扬清  弘扬正气,result\np_navi\pdf\12dc630e-025e-4cae-bd67-8d0f3bcc86c4.pdf,result\np_navi\txt\12dc630e-025e-4cae-bd67-8d0f3bcc86c4.txt
2fbae514-698f-44af-a83e-ef4f7dd9ce19,专业机构请进村  文化大餐端上来,result\np_navi\pdf\2fbae514-698f-44af-a83e-ef4f7dd9ce19.pdf,result\np_navi\txt\2fbae514-698f-44af-a83e-ef4f7dd9ce19.txt
e458d4f9-c015-4fd0-ace1-9d75b3175792,学会主动“找活干”,result\np_navi\pdf\e458d4f9-c015-4fd0-ace1-9d75b3175792.pdf,result\np_navi\txt\e458d4f9-c015-4fd0-ace1-9d75b3175792.txt
62478382-d02a-4831-a287-b3ac60a14f7e,轻装上阵，多为街坊办实事,result\np_navi\pdf\62478382-d02a-4831-a287-b3ac60a14f7e.pdf,result\np_navi\txt\62478382-d02a-4831-a287-b3ac60a14f7e.txt
9f688e69-58de-4a92-86f5-a5e11a1e1317,聚焦专精特新  形成发展优势,result\np_navi\pdf\9f688e69-58de-4a92-86f5-a5e11a1e1317.pdf,result\np_navi\txt\9f688e69-58de-4a92-86f5-a5e11a1e1317.txt
2b7af3b5-62ce-4efe-a03f-1711e17fc9ee,矗立天地间的不朽精神丰碑,result\np_navi\pdf\2b7af3b5-62ce-4efe-a03f-1711e17fc9ee.pdf,result\np_navi\txt\2b7af3b5-62ce-4efe-a03f-1711e17fc9ee.txt
0b08c252-fb1b-49f6-b36b-bff4a6cdbd22,把学问写进群众心坎里,result\np_navi\pdf\0b08c252-fb1b-49f6-b36b-bff4a6cdbd22.pdf,result\np_navi\txt\0b08c252-fb1b-49f6-b36b-bff4a6cdbd22.txt
a3761c4f-3a45-4181-bdcb-76263d2bd005,弘扬伟大建党精神  书写新的恢宏史诗,result\np_navi\pdf\a3761c4f-3a45-4181-bdcb-76263d2bd005.pdf,result\np_navi\txt\a3761c4f-3a45-4181-bdcb-76263d2bd005.txt
5c440f83-6a8d-427d-8658-2fa2743a77aa,栗战书同斯里兰卡议长阿贝瓦德纳举行会谈,result\np_navi\pdf\5c440f83-6a8d-427d-8658-2fa2743a77aa.pdf,result\np_navi\txt\5c440f83-6a8d-427d-8658-2fa2743a77aa.txt
05214cd9-9bb7-4498-a12b-d40904999132,拥抱数字经济  促进服贸繁荣,result\np_navi\pdf\05214cd9-9bb7-4498-a12b-d40904999132.pdf,result\np_navi\txt\05214cd9-9bb7-4498-a12b-d40904999132.txt
991dfd0b-75cf-4329-85ce-6b6ac623874d,织密个人信息保护的法治之网,result\np_navi\pdf\991dfd0b-75cf-4329-85ce-6b6ac623874d.pdf,result\np_navi\txt\991dfd0b-75cf-4329-85ce-6b6ac623874d.txt
77ceb045-1bb1-41fa-a3d3-7b74c13acb76,“五位一体”谱华章,result\np_navi\pdf\77ceb045-1bb1-41fa-a3d3-7b74c13acb76.pdf,result\np_navi\txt\77ceb045-1bb1-41fa-a3d3-7b74c13acb76.txt
ca7525df-44ef-4c14-867f-42d9950c6cac,中国共产党是为人民奋斗的政党,result\np_navi\pdf\ca7525df-44ef-4c14-867f-42d9950c6cac.pdf,result\np_navi\txt\ca7525df-44ef-4c14-867f-42d9950c6cac.txt
5bb84ab8-ab62-4b4a-a65c-5ef182414928,市场监管总局开展“铁拳”行动,result\np_navi\pdf\5bb84ab8-ab62-4b4a-a65c-5ef182414928.pdf,result\np_navi\txt\5bb84ab8-ab62-4b4a-a65c-5ef182414928.txt
6bd7491a-898a-4db8-ac0d-fe22e9caac25,推动社区商业转型升级,result\np_navi\pdf\6bd7491a-898a-4db8-ac0d-fe22e9caac25.pdf,result\np_navi\txt\6bd7491a-898a-4db8-ac0d-fe22e9caac25.txt
cd591c84-f36a-426a-92a7-843656579db9,打造一刻钟便民生活圈,result\np_navi\pdf\cd591c84-f36a-426a-92a7-843656579db9.pdf,result\np_navi\txt\cd591c84-f36a-426a-92a7-843656579db9.txt
ff3b9253-404a-4471-a9ca-9aeaee72196f,加强废弃电器电子产品回收利用,result\np_navi\pdf\ff3b9253-404a-4471-a9ca-9aeaee72196f.pdf,result\np_navi\txt\ff3b9253-404a-4471-a9ca-9aeaee72196f.txt
d2c2750a-91a1-4dd2-bb26-92ded128a3c4,保持埋头苦干的劲头和抬头看路的清醒,result\np_navi\pdf\d2c2750a-91a1-4dd2-bb26-92ded128a3c4.pdf,result\np_navi\txt\d2c2750a-91a1-4dd2-bb26-92ded128a3c4.txt
becef091-b27c-4d4b-870e-169aebd057e2,推进城市高质量发展  提升居民生活品质,result\np_navi\pdf\becef091-b27c-4d4b-870e-169aebd057e2.pdf,result\np_navi\txt\becef091-b27c-4d4b-870e-169aebd057e2.txt
147bd023-b1b4-4eb7-9d70-1b232e9aca40,加强交流合作  促进持续发展,result\np_navi\pdf\147bd023-b1b4-4eb7-9d70-1b232e9aca40.pdf,result\np_navi\txt\147bd023-b1b4-4eb7-9d70-1b232e9aca40.txt
095bdc05-f1b4-4b94-8420-bedbc0dbf50e,欧洲努力应对疫情反弹,result\np_navi\pdf\095bdc05-f1b4-4b94-8420-bedbc0dbf50e.pdf,result\np_navi\txt\095bdc05-f1b4-4b94-8420-bedbc0dbf50e.txt
d853f7f9-1409-44ba-b5ab-d439fa8d0de2,加蓬推动森林产业可持续发展,result\np_navi\pdf\d853f7f9-1409-44ba-b5ab-d439fa8d0de2.pdf,result\np_navi\txt\d853f7f9-1409-44ba-b5ab-d439fa8d0de2.txt
ed3bd687-6246-419a-b5c5-9da01ff42d2f,“五位一体”谱华章,result\np_navi\pdf\ed3bd687-6246-419a-b5c5-9da01ff42d2f.pdf,result\np_navi\txt\ed3bd687-6246-419a-b5c5-9da01ff42d2f.txt
d5519e6d-933f-4d09-bc14-66e6b27ba183,农民培训有实招,result\np_navi\pdf\d5519e6d-933f-4d09-bc14-66e6b27ba183.pdf,result\np_navi\txt\d5519e6d-933f-4d09-bc14-66e6b27ba183.txt
6c09bdd7-4639-405b-ac98-64fd9e41f225,让青山常在、绿水长流、空气常新,result\np_navi\pdf\6c09bdd7-4639-405b-ac98-64fd9e41f225.pdf,result\np_navi\txt\6c09bdd7-4639-405b-ac98-64fd9e41f225.txt
ca6fcaea-0136-432f-ae48-0424fd582812,努力培养担当民族复兴重任的时代新人,result\np_navi\pdf\ca6fcaea-0136-432f-ae48-0424fd582812.pdf,result\np_navi\txt\ca6fcaea-0136-432f-ae48-0424fd582812.txt
730f8ce1-cccc-472b-8dc5-ada12434cfcb,广袤山乡舒展小康新画卷,result\np_navi\pdf\730f8ce1-cccc-472b-8dc5-ada12434cfcb.pdf,result\np_navi\txt\730f8ce1-cccc-472b-8dc5-ada12434cfcb.txt
59e6dc3a-6ea0-4fef-8974-2d049d31661e,2021年中国国际服务贸易交易会综合演练活动举行,result\np_navi\pdf\59e6dc3a-6ea0-4fef-8974-2d049d31661e.pdf,result\np_navi\txt\59e6dc3a-6ea0-4fef-8974-2d049d31661e.txt
e4398b57-86be-48c0-a546-70e6545862ed,科学溯源必须公平公正,result\np_navi\pdf\e4398b57-86be-48c0-a546-70e6545862ed.pdf,result\np_navi\txt\e4398b57-86be-48c0-a546-70e6545862ed.txt
bbad481d-a7dd-4d47-8c27-38137685cb60,“中国共产党是中国特色社会主义事业的领导核心”,result\np_navi\pdf\bbad481d-a7dd-4d47-8c27-38137685cb60.pdf,result\np_navi\txt\bbad481d-a7dd-4d47-8c27-38137685cb60.txt
6ed465b1-147b-4d5e-826b-31c9b0082a16,把保障就业放在宏观政策优先位置,result\np_navi\pdf\6ed465b1-147b-4d5e-826b-31c9b0082a16.pdf,result\np_navi\txt\6ed465b1-147b-4d5e-826b-31c9b0082a16.txt
40a31104-684b-40d9-b08e-e21846d56557,北京加快服贸首创政策落地,result\np_navi\pdf\40a31104-684b-40d9-b08e-e21846d56557.pdf,result\np_navi\txt\40a31104-684b-40d9-b08e-e21846d56557.txt
c8532a2a-b5eb-452e-9f3d-7e421c743523,具有强大领导力执政力,result\np_navi\pdf\c8532a2a-b5eb-452e-9f3d-7e421c743523.pdf,result\np_navi\txt\c8532a2a-b5eb-452e-9f3d-7e421c743523.txt
7032f606-7cb8-45e4-a697-f3c5328e30e5,推动新时代党的民族工作高质量发展,result\np_navi\pdf\7032f606-7cb8-45e4-a697-f3c5328e30e5.pdf,result\np_navi\txt\7032f606-7cb8-45e4-a697-f3c5328e30e5.txt
2959a9ab-0736-4a1d-9d1f-16e4df55e66f,政协常委会第十八次会议开幕,result\np_navi\pdf\2959a9ab-0736-4a1d-9d1f-16e4df55e66f.pdf,result\np_navi\txt\2959a9ab-0736-4a1d-9d1f-16e4df55e66f.txt
019bc068-d2d5-45bb-9436-aff7efebbc37,把铸牢中华民族共同体意识贯穿党的民族工作全过程各方面,result\np_navi\pdf\019bc068-d2d5-45bb-9436-aff7efebbc37.pdf,result\np_navi\txt\019bc068-d2d5-45bb-9436-aff7efebbc37.txt
28e64ed7-ba50-410f-b4d9-c124fde66dfd,习近平同厄瓜多尔总统拉索通电话,result\np_navi\pdf\28e64ed7-ba50-410f-b4d9-c124fde66dfd.pdf,result\np_navi\txt\28e64ed7-ba50-410f-b4d9-c124fde66dfd.txt
53d315ed-be8c-40d1-bc9c-19c62e08ea8a,习近平同古巴国家主席迪亚斯―卡内尔通电话,result\np_navi\pdf\53d315ed-be8c-40d1-bc9c-19c62e08ea8a.pdf,result\np_navi\txt\53d315ed-be8c-40d1-bc9c-19c62e08ea8a.txt
be243dc6-24f6-49e1-9768-bd044365082b,外交部：美病毒溯源报告是政治报告、甩锅报告、虚假报告,result\np_navi\pdf\be243dc6-24f6-49e1-9768-bd044365082b.pdf,result\np_navi\txt\be243dc6-24f6-49e1-9768-bd044365082b.txt
976624f6-87cc-40c5-bfb7-4ab03f9af76d,《中华人民共和国简史》《改革开放简史》《社会主义发展简史》出版发行,result\np_navi\pdf\976624f6-87cc-40c5-bfb7-4ab03f9af76d.pdf,result\np_navi\txt\976624f6-87cc-40c5-bfb7-4ab03f9af76d.txt
b9b062ea-a162-4d0d-b5a0-b3f446ae9c6e,“英国一些政客对中国新疆的指控违背事实、荒谬至极”,result\np_navi\pdf\b9b062ea-a162-4d0d-b5a0-b3f446ae9c6e.pdf,result\np_navi\txt\b9b062ea-a162-4d0d-b5a0-b3f446ae9c6e.txt
342138af-669e-44d7-a102-245a1f1e9acb,一路向前冲  敢拼才会赢,result\np_navi\pdf\342138af-669e-44d7-a102-245a1f1e9acb.pdf,result\np_navi\txt\342138af-669e-44d7-a102-245a1f1e9acb.txt
6b0a0bb0-b170-45a1-8075-60c418536711,加强反垄断反不正当竞争监管力度  完善物资储备体制机制深入打好污染防治攻坚战,result\np_navi\pdf\6b0a0bb0-b170-45a1-8075-60c418536711.pdf,result\np_navi\txt\6b0a0bb0-b170-45a1-8075-60c418536711.txt
63d7f126-82a5-4671-980c-48daf2887c3c,减少碳排放需要全民行动,result\np_navi\pdf\63d7f126-82a5-4671-980c-48daf2887c3c.pdf,result\np_navi\txt\63d7f126-82a5-4671-980c-48daf2887c3c.txt
bb65b4a0-97bc-4a62-a08f-96a536b98025,县里就医  省钱省时,result\np_navi\pdf\bb65b4a0-97bc-4a62-a08f-96a536b98025.pdf,result\np_navi\txt\bb65b4a0-97bc-4a62-a08f-96a536b98025.txt
3cab4747-22c6-4906-b0ef-36d3c23a7c76,崇德尚艺是文艺工作者一生的功课,result\np_navi\pdf\3cab4747-22c6-4906-b0ef-36d3c23a7c76.pdf,result\np_navi\txt\3cab4747-22c6-4906-b0ef-36d3c23a7c76.txt
857a79f1-7140-42c9-b401-3dfce29d431d,必须坚持和发展中国特色社会主义,result\np_navi\pdf\857a79f1-7140-42c9-b401-3dfce29d431d.pdf,result\np_navi\txt\857a79f1-7140-42c9-b401-3dfce29d431d.txt
932ab377-f3b0-4413-bba1-b7140fc71056,快递进村  畅通城乡双向循环,result\np_navi\pdf\932ab377-f3b0-4413-bba1-b7140fc71056.pdf,result\np_navi\txt\932ab377-f3b0-4413-bba1-b7140fc71056.txt
76f9bd3a-84e9-4fb1-8ad2-ed54fadf27ef,“祝融号”的火星100天,result\np_navi\pdf\76f9bd3a-84e9-4fb1-8ad2-ed54fadf27ef.pdf,result\np_navi\txt\76f9bd3a-84e9-4fb1-8ad2-ed54fadf27ef.txt
85dab01f-57c0-4cf1-a927-42ba7f284b73,推动“双减”政策全面落地,result\np_navi\pdf\85dab01f-57c0-4cf1-a927-42ba7f284b73.pdf,result\np_navi\txt\85dab01f-57c0-4cf1-a927-42ba7f284b73.txt
5f8e6819-c495-4435-a060-bc00483c8a3d,充分发挥党内法规制度优势,result\np_navi\pdf\5f8e6819-c495-4435-a060-bc00483c8a3d.pdf,result\np_navi\txt\5f8e6819-c495-4435-a060-bc00483c8a3d.txt
a8ab2e42-1b4a-477f-a482-66fcdf07eaa1,以智能制造推动产业升级,result\np_navi\pdf\a8ab2e42-1b4a-477f-a482-66fcdf07eaa1.pdf,result\np_navi\txt\a8ab2e42-1b4a-477f-a482-66fcdf07eaa1.txt
9655a8ab-f7d2-4045-941f-da6b122c136c,以开源开放为抓手形成科技与产业新优势,result\np_navi\pdf\9655a8ab-f7d2-4045-941f-da6b122c136c.pdf,result\np_navi\txt\9655a8ab-f7d2-4045-941f-da6b122c136c.txt
12c52704-3879-443d-9a9f-58286cd68997,把全过程人民民主贯穿立法全过程,result\np_navi\pdf\12c52704-3879-443d-9a9f-58286cd68997.pdf,result\np_navi\txt\12c52704-3879-443d-9a9f-58286cd68997.txt
5f4c73a1-faa7-45d0-af69-c016cbf24efa,大力培养中医药人才,result\np_navi\pdf\5f4c73a1-faa7-45d0-af69-c016cbf24efa.pdf,result\np_navi\txt\5f4c73a1-faa7-45d0-af69-c016cbf24efa.txt
a3c4ea6b-2b72-4738-9c46-27fbd3e068c3,多方合力推进“双减”落地,result\np_navi\pdf\a3c4ea6b-2b72-4738-9c46-27fbd3e068c3.pdf,result\np_navi\txt\a3c4ea6b-2b72-4738-9c46-27fbd3e068c3.txt
5a188ec9-2d2a-4fdf-a26d-2b0890821f91,从伟大建党精神中汲取前行力量,result\np_navi\pdf\5a188ec9-2d2a-4fdf-a26d-2b0890821f91.pdf,result\np_navi\txt\5a188ec9-2d2a-4fdf-a26d-2b0890821f91.txt
d73355bd-ea2b-43e4-af46-319bf77759e9,加快完善现代种业全产业链,result\np_navi\pdf\d73355bd-ea2b-43e4-af46-319bf77759e9.pdf,result\np_navi\txt\d73355bd-ea2b-43e4-af46-319bf77759e9.txt
5dad5de1-4692-4100-baa6-0442975c4984,全国第一批政法队伍教育整顿成效显著,result\np_navi\pdf\5dad5de1-4692-4100-baa6-0442975c4984.pdf,result\np_navi\txt\5dad5de1-4692-4100-baa6-0442975c4984.txt
7835758e-0e1b-41a2-b534-f028e93731a7,建强党组织  共筑致富路,result\np_navi\pdf\7835758e-0e1b-41a2-b534-f028e93731a7.pdf,result\np_navi\txt\7835758e-0e1b-41a2-b534-f028e93731a7.txt
385ea1f9-4e88-4c0c-8b01-3bdc7a11bea2,危急关头，冲在最前面,result\np_navi\pdf\385ea1f9-4e88-4c0c-8b01-3bdc7a11bea2.pdf,result\np_navi\txt\385ea1f9-4e88-4c0c-8b01-3bdc7a11bea2.txt
5ecfd800-4748-470c-a3dd-fcd5f03c0ed5,俄罗斯加强职业教育培训,result\np_navi\pdf\5ecfd800-4748-470c-a3dd-fcd5f03c0ed5.pdf,result\np_navi\txt\5ecfd800-4748-470c-a3dd-fcd5f03c0ed5.txt
